Image n.,MSE,SSIM
0,16348.752019757434,0.2927084368810829
1,8045.151618740219,0.09068595813551923
2,10301.318466353678,0.24877078275080045
3,4352.026643192488,0.31102987603815657
4,11920.438214006259,0.09815919029859425
5,7078.107868740219,0.311762483749308
6,10944.03512812989,0.24092200505976727
7,5887.621464201878,0.5281761423418738
8,7143.507012910798,0.232278224517627
9,10176.369459115806,0.25897485542047527
10,7458.775552621283,0.36212648465494207
11,7686.908049687011,0.49806209409030333
12,8068.997095070423,0.24431928498378022
13,9047.194967723004,0.21367661574217753
14,8428.199217527386,0.32008663165974843
15,8119.720456768388,0.325059075577248
16,5471.553931924883,0.34879367685085066
17,10948.930428403755,0.3201130022422112
18,13970.732365023474,0.3036796553391245
19,13734.719126564945,0.2679634254404688
20,10015.271742957746,0.3042254219580966
21,9812.26695031299,0.2714056447919415
22,18080.747721048512,0.2947720453454126
23,7179.052484350548,0.425812989956514
24,12282.333700117371,0.3478739847599168
25,8329.155819640062,0.35227480269998174
26,12787.162441314555,0.471144636770521
27,6528.989607785603,0.3582591988307047
28,11452.019943270736,0.1695289745373604
29,15805.233225743348,0.17150725472032038
