Image n.,MSE,SSIM
0,14349.487358176839,0.10068751834784306
1,13222.168221830985,0.12356655056300242
2,10642.202821791861,0.051047206679387724
3,10758.76470559468,0.06049740308886501
4,11451.464152973396,0.14032165922296858
5,11287.18122554773,0.12293058286388008
6,14623.735979068857,0.06303385563554036
7,7501.272496087637,0.09185894441340925
8,13752.350894953051,0.1420629586872878
9,11259.144913928012,0.15945535827970836
10,13899.664431729265,0.08191499181211959
11,16667.95698845853,0.03548118989216227
12,16355.385313967136,0.14098353123927576
13,11134.253682511737,0.06630764150279557
14,14105.267033450704,0.1157930219425614
15,11547.33739730047,0.050912156415565894
16,13812.681078834115,0.11898685667070981
17,11411.921253912364,0.11759915866396513
18,12095.642493153364,0.03451407041500729
19,12541.335656298905,0.05521080395128906
20,22169.766035798122,0.07245630492343123
21,10505.91627543036,0.1605352611573783
22,21006.077719092333,0.06782510997134582
23,12354.83002738654,0.12122590556960204
24,11985.46723395931,0.1807223295486339
25,7677.762617370892,0.2225864228496659
26,12076.493798904537,0.1324495245129762
27,16799.94580399061,0.0342441742052659
28,13687.824007237872,0.10775386221040507
29,13841.020745305164,0.14464594196169542
