Image n.,MSE,SSIM
0,9513.679826877935,0.21615821038825467
1,10939.598498630672,0.3122894552562932
2,11690.777875586855,0.23721593762690962
3,6773.250171165884,0.25039941301931357
4,9562.113693270736,0.22950926711006722
5,5927.9219825899845,0.24985610303421235
6,10913.088453638498,0.196996026859962
7,19760.121811424102,0.1627812992242557
8,11140.713121087638,0.18136195231840957
9,9227.448449726135,0.19686544358825717
10,4120.666666666667,0.33272515496312033
11,12090.888859546167,0.26385554973124625
12,12060.554088419405,0.27586153536867025
13,8494.156724374023,0.2060245317691366
14,8836.9716206964,0.17753463385278737
15,13857.091994327073,0.25318512942009935
16,6700.250762910798,0.25624872500978246
17,10439.8753178795,0.3255312772553663
18,7181.674506064162,0.28538313597231574
19,4038.457633998435,0.3199577759702084
20,5254.058279538342,0.30581007001886457
21,5012.718671752738,0.31685266950968827
22,7142.75383900626,0.30999692712435156
23,3952.0,0.3354690615354167
24,4751.0,0.3332226272185114
25,5127.863390062598,0.31065561935745034
26,5080.333333333333,0.3336876434336647
27,5096.333333333333,0.33385566918941123
28,5285.206078834116,0.19146861654129874
29,8858.479176447574,0.2229230901359088
