Image n.,MSE,SSIM
0,10717.146855438185,0.07567312884281185
1,19042.01343407668,0.046466939112438904
2,16343.400577073553,0.21106613030583263
3,4317.161541471049,0.10303006494405731
4,17784.27589495305,0.06411021612704175
5,17313.80494913928,0.08949792843771402
6,19652.685793231612,0.09953339154055026
7,15413.70067488263,0.1416312561125935
8,13567.83632629108,0.11846641081222387
9,11835.478936815336,0.11869405289722075
10,11404.526335093897,0.08532206671009136
11,10829.79455203443,0.07118590671097282
12,27511.48787167449,0.07787805048222622
13,12471.79148082942,0.1427680288572373
14,17874.25099276213,0.057487947271023306
15,15662.941475938967,0.07914669764923708
16,15002.835993740218,0.09420902312130554
17,10073.934164710485,0.0889170256367074
18,10562.791930751173,0.08422742224216462
19,20485.718779342722,0.08881133284762655
20,11193.292776799686,0.07773773348336914
21,14425.069512910799,0.0632800622668972
22,17001.508235524256,0.08179130456072664
23,14341.968534820031,0.1028184971757159
24,13478.804738849765,0.10311426104603753
25,22836.73785700313,0.10251906542572993
26,13175.216940532082,0.10353434960001007
27,22178.624026799687,0.09543702651103614
28,18082.52275528169,0.06904642590817357
29,4001.0040052816903,0.10741667529778624
