Image n.,MSE,SSIM
0,6858.969659624413,0.3514259659944324
1,5816.593882042253,0.46782337630284987
2,10435.339563771518,0.2982493649175039
3,12634.749501173708,0.4601774754975085
4,12884.765140845071,0.36463067740154664
5,9451.512138106416,0.37034432665785877
6,6919.662768974961,0.34827075247139283
7,8437.22856025039,0.41345532927436773
8,7089.678447769953,0.44478585164974166
9,14729.21984546166,0.30074408883050613
10,8722.596156103287,0.35525781748123103
11,9596.731323356807,0.38377117520304976
12,15055.905848982786,0.42503431123286134
13,8307.308744131455,0.4852725374114956
14,7534.790126173709,0.22733929887661838
15,12402.895378521127,0.37322157597528566
16,21699.576115023476,0.29255037383340493
17,10817.842987089201,0.42199645860268536
18,9688.945192683881,0.4212779906465928
19,9892.816407472614,0.39280654809219856
20,17046.95534526604,0.39646084970349227
21,7399.66461756651,0.35230841110062844
22,19796.028799882628,0.37331619457770726
23,4762.914803403756,0.5741672641532936
24,6280.751941510172,0.5204250763613256
25,5570.8071840766825,0.4276429401207699
26,9845.637715179968,0.466823264482826
27,9917.096234350547,0.4720271408655092
28,5467.245016627543,0.47053498583089787
29,3853.2319982394365,0.5761431625651537
