Image n.,MSE,SSIM
0,13640.18114730047,0.202428289908649
1,12082.998293231612,0.2985343771912634
2,8533.346562010955,0.21330890693360902
3,10258.061609937402,0.37710525561091757
4,11708.983714788732,0.3255328452479938
5,13304.177469679185,0.24022691778382807
6,17484.32745011737,0.15401651436715816
7,13991.586116001565,0.243441863844686
8,9638.841270539906,0.16917202108075516
9,10194.831919992175,0.2055613619654244
10,15999.017493153364,0.1319558044527462
11,9153.249545187793,0.30570795806247414
12,10620.751457355243,0.1470456717580942
13,13258.171346830986,0.17077496322574037
14,17626.56306240219,0.1587228707609489
15,9074.448542644757,0.26230473380249925
16,11828.409844483567,0.20273127424316154
17,10238.309394561815,0.16246688743967977
18,12947.706621674492,0.2076292233267086
19,7581.957409037559,0.41312510035436983
20,8331.617762128326,0.27710083785019757
21,14562.290155516432,0.1787203760120741
22,8611.544918818467,0.2390844229348452
23,10763.485592723006,0.16635550210527802
24,11010.1152435446,0.1812726562459348
25,18639.589348591548,0.19555575232467667
26,11251.694992175273,0.14935050963302396
27,16473.233132824727,0.1816282003944039
28,14437.196845657278,0.1412959261460007
29,7639.407438380282,0.2684400531776836
